Time,Latitude, Longitute
16049232007,42.2752875,-71.8019783
16069390059,42.2752776,-71.8019721
16089249135,42.2752682,-71.801965
16109297991,42.2752682,-71.801965
16129724026,42.2752601,-71.8019563
16149369002,42.2752524,-71.8019475
16169430018,42.2752449,-71.8019371
16189307929,42.2752379,-71.8019256
16209357977,42.2752379,-71.8019256
16230003119,42.275232,-71.8019128
16249198914,42.275227,-71.8018986
16269273043,42.2752228,-71.8018835
16289297104,42.2752198,-71.8018673
16309741021,42.2752198,-71.8018673
16329236985,42.2752191,-71.8018506
16349584103,42.2752182,-71.8018329
16369369030,42.2752198,-71.8018149
16389688969,42.2752212,-71.801797
16409441948,42.2752212,-71.801797
16430186034,42.275223,-71.8017783
16449322939,42.2752257,-71.8017592
16469346047,42.2752276,-71.8017399
16489269019,42.27523,-71.8017206
16509377003,42.27523,-71.8017206
16529855013,42.2752326,-71.8017002
16549353123,42.2752343,-71.8016799
16569838047,42.2752368,-71.8016594
16589404107,42.275239,-71.8016377
16609910965,42.275239,-71.8016377
16629451037,42.2752415,-71.8016156
16649416924,42.2752437,-71.8015934
16669270993,42.2752459,-71.8015713
16689218998,42.2752486,-71.8015485
16709774971,42.2752486,-71.8015485
16729231120,42.2752506,-71.8015265
16749480963,42.2752531,-71.8015043
16769257069,42.2752556,-71.8014818
16789998055,42.275258,-71.8014607
16809281111,42.275258,-71.8014607
16829339028,42.275261,-71.8014379
16849149943,42.2752638,-71.8014154
16869280100,42.2752667,-71.8013928
16889841080,42.2752696,-71.8013704
16909131051,42.2752696,-71.8013704
16929366112,42.2752723,-71.8013483
16949257136,42.2752749,-71.8013267
16970566988,42.2752774,-71.801305
16989887953,42.2752801,-71.8012836
17009937048,42.2752801,-71.8012836
17029149056,42.2752825,-71.8012625
17049349070,42.2752848,-71.8012415
17069557906,42.2752871,-71.8012209
17089257956,42.2752896,-71.8012006
17110394001,42.2752896,-71.8012006
17129235030,42.2752922,-71.80118
17149375916,42.275295,-71.8011597
17176996947,42.2752978,-71.8011394
17189203024,42.2753001,-71.8011197
17209176064,42.2753001,-71.8011197
17229243994,42.2753024,-71.8010999
17249335051,42.275305,-71.8010805
17269793034,42.2753072,-71.8010614
17289169074,42.2753097,-71.801043
17309376002,42.2753097,-71.801043
17329729081,42.275312,-71.8010255
17349371911,42.2753138,-71.8010088
17369791985,42.2753158,-71.8009927
17389286042,42.2753171,-71.8009783
17409301997,42.2753171,-71.8009783
17429234028,42.2753188,-71.8009641
17449348927,42.2753206,-71.8009513
17469943047,42.275322,-71.80094
17489252091,42.2753233,-71.8009292
17509627104,42.2753233,-71.8009292
17529444933,42.2753245,-71.80092
17550429106,42.2753252,-71.8009126
17569375992,42.275326,-71.8009057
17589769125,42.2753265,-71.8009012
17609272004,42.2753265,-71.8009012
17629190922,42.2753268,-71.8008974
17649790049,42.2753273,-71.8008949
17669212103,42.2753274,-71.8008938
17689290047,42.2753277,-71.8008937
17709329129,42.2753277,-71.8008937
17729321957,42.2753284,-71.8008928
17749815941,42.275329,-71.8008921
17769315005,42.2753294,-71.8008915
17789348126,42.2753297,-71.8008908
17810317040,42.2753297,-71.8008908
17829240084,42.27533,-71.8008903
17849755049,42.2753303,-71.8008897
17869345904,42.2753304,-71.8008893
17889385939,42.2753307,-71.8008889
